pub_date	title	venue	citation	paper_url	url_slug
2021-06-30	Computer-Assisted Methods for Analyzing Periodic Orbits in Vibrating Gravitational Billiards	International Journal of Bifurcation and Chaos	K. E. M. Church and C. Fortin, Computer-Assisted Methods for Analyzing Periodic Orbits in Vibrating Gravitational Billiards, Int. J. Bifurcation Chaos 31 (08), 2130021 (2021)	https://www.researchgate.net/publication/346025375_Computer-assisted_methods_for_analyzing_periodic_orbits_in_vibrating_gravitational_billiards	2021-06-30 
2024-12-12	Non-Hermitian Topological Phase Transition of the Bosonic Kitaev Chain	arXiv	C. Fortin, K. Wang and T. Pereg-Barnea, Non-Hermitian Topological Phase Transition of the Bosonic Kitaev Chain, arxiv:2412.09744 (2024)	https://arxiv.org/pdf/2412.09744	2024-12-12
